# Energy(MeV) Fluence_Total
3.143677e+01 4.329451e+06
3.174997e+01 4.218323e+06
3.206628e+01 4.110045e+06
3.238575e+01 4.006100e+06
3.270840e+01 3.905450e+06
3.303426e+01 3.807325e+06
3.336338e+01 3.711663e+06
3.369576e+01 3.618401e+06
3.403147e+01 3.527480e+06
3.437051e+01 3.435461e+06
3.471293e+01 3.343995e+06
3.505877e+01 3.254967e+06
3.540805e+01 3.168814e+06
3.576081e+01 3.084132e+06
3.611708e+01 2.999144e+06
3.647691e+01 2.916504e+06
3.684031e+01 2.836145e+06
3.720734e+01 2.758006e+06
3.757803e+01 2.682024e+06
3.795241e+01 2.608139e+06
3.833052e+01 2.536295e+06
3.871239e+01 2.469189e+06
3.909807e+01 2.404287e+06
3.948759e+01 2.342070e+06
3.988100e+01 2.281461e+06
4.027832e+01 2.222419e+06
4.067960e+01 2.162964e+06
4.108488e+01 2.101695e+06
4.149420e+01 2.042174e+06
4.190759e+01 1.984352e+06
4.232510e+01 1.929459e+06
4.274678e+01 1.878978e+06
4.317265e+01 1.829816e+06
4.360277e+01 1.781940e+06
4.403717e+01 1.734351e+06
4.447590e+01 1.687224e+06
4.491900e+01 1.641377e+06
4.536651e+01 1.596774e+06
4.581848e+01 1.553383e+06
4.627496e+01 1.511170e+06
4.673598e+01 1.470332e+06
4.720160e+01 1.431161e+06
4.767186e+01 1.393028e+06
4.814680e+01 1.356442e+06
4.862647e+01 1.321054e+06
4.911092e+01 1.286584e+06
4.960020e+01 1.253005e+06
5.009435e+01 1.220297e+06
5.059342e+01 1.188436e+06
5.109747e+01 1.154638e+06
5.160654e+01 1.121682e+06
5.212068e+01 1.089669e+06
5.263994e+01 1.058573e+06
5.316438e+01 1.029788e+06
5.369404e+01 1.002963e+06
5.422898e+01 9.768355e+05
5.476924e+01 9.513884e+05
5.531489e+01 9.266036e+05
5.586598e+01 9.024638e+05
5.642256e+01 8.789522e+05
5.698468e+01 8.560524e+05
5.755240e+01 8.337487e+05
5.812578e+01 8.120254e+05
