# Energy(MeV) Phi16_Sferica Phi84_Sferica
4.514968e+00 6.767073e+07 7.983689e+07
4.546295e+00 6.703985e+07 7.901906e+07
4.577841e+00 6.641468e+07 7.821359e+07
4.609604e+00 6.579517e+07 7.741619e+07
4.641589e+00 6.518127e+07 7.662676e+07
4.673795e+00 6.457325e+07 7.584524e+07
4.706225e+00 6.397218e+07 7.507155e+07
4.738880e+00 6.337653e+07 7.430560e+07
4.771761e+00 6.278625e+07 7.354732e+07
4.804870e+00 6.220129e+07 7.279637e+07
4.838210e+00 6.162160e+07 7.205218e+07
4.871780e+00 6.104714e+07 7.131545e+07
4.905584e+00 6.047786e+07 7.058612e+07
4.939622e+00 5.991641e+07 6.986838e+07
4.973896e+00 5.936195e+07 6.915663e+07
5.008408e+00 5.880517e+07 6.845368e+07
5.043159e+00 5.825344e+07 6.775672e+07
5.078152e+00 5.770671e+07 6.706293e+07
5.113388e+00 5.716494e+07 6.637411e+07
5.148867e+00 5.662809e+07 6.570133e+07
5.184594e+00 5.609611e+07 6.504174e+07
5.220568e+00 5.556969e+07 6.438205e+07
5.256791e+00 5.504842e+07 6.372837e+07
5.293266e+00 5.453187e+07 6.307993e+07
5.329994e+00 5.402000e+07 6.243794e+07
5.366977e+00 5.351276e+07 6.180883e+07
5.404216e+00 5.301013e+07 6.118898e+07
5.441714e+00 5.251205e+07 6.057518e+07
5.479472e+00 5.201849e+07 5.996739e+07
5.517492e+00 5.152940e+07 5.936328e+07
5.555776e+00 5.103955e+07 5.876193e+07
5.594326e+00 5.055458e+07 5.816653e+07
5.633143e+00 5.007938e+07 5.757703e+07
5.672229e+00 4.961030e+07 5.699122e+07
5.711586e+00 4.914409e+07 5.640987e+07
5.751217e+00 4.868346e+07 5.582791e+07
5.791123e+00 4.822555e+07 5.524396e+07
5.831305e+00 4.777197e+07 5.466789e+07
5.871766e+00 4.732337e+07 5.410749e+07
5.912508e+00 4.687786e+07 5.355784e+07
5.953533e+00 4.643639e+07 5.301190e+07
5.994843e+00 4.599891e+07 5.247089e+07
6.036439e+00 4.556540e+07 5.193021e+07
6.078323e+00 4.513872e+07 5.139497e+07
6.120498e+00 4.471605e+07 5.086594e+07
6.162966e+00 4.429320e+07 5.035054e+07
6.205729e+00 4.387172e+07 4.983877e+07
6.248788e+00 4.345411e+07 4.932915e+07
6.292146e+00 4.304124e+07 4.881902e+07
6.335805e+00 4.263335e+07 4.832287e+07
6.379767e+00 4.222918e+07 4.783715e+07
6.424034e+00 4.182868e+07 4.733838e+07
6.468608e+00 4.143183e+07 4.684229e+07
6.513491e+00 4.103860e+07 4.635511e+07
6.558686e+00 4.064894e+07 4.587987e+07
6.604194e+00 4.026284e+07 4.540901e+07
6.650018e+00 3.988042e+07 4.494167e+07
6.696160e+00 3.950221e+07 4.447900e+07
6.742622e+00 3.912743e+07 4.402098e+07
6.789407e+00 3.875605e+07 4.356754e+07
6.836516e+00 3.838804e+07 4.311865e+07
6.883952e+00 3.802336e+07 4.267345e+07
6.931717e+00 3.766199e+07 4.223397e+07
6.979814e+00 3.730390e+07 4.179882e+07
7.028244e+00 3.694907e+07 4.136906e+07
7.077011e+00 3.659851e+07 4.094303e+07
7.126115e+00 3.625164e+07 4.052192e+07
7.175561e+00 3.590789e+07 4.010420e+07
7.225349e+00 3.556587e+07 3.968921e+07
7.275484e+00 3.522486e+07 3.927565e+07
7.325965e+00 3.488698e+07 3.886518e+07
7.376798e+00 3.455219e+07 3.846117e+07
7.427982e+00 3.422119e+07 3.805955e+07
7.479523e+00 3.389374e+07 3.766519e+07
7.531420e+00 3.356929e+07 3.727611e+07
7.583678e+00 3.324780e+07 3.689110e+07
7.636298e+00 3.292995e+07 3.650713e+07
7.689284e+00 3.261658e+07 3.612359e+07
7.742637e+00 3.230360e+07 3.574734e+07
7.796360e+00 3.199343e+07 3.537822e+07
7.850456e+00 3.168914e+07 3.501245e+07
7.904928e+00 3.138893e+07 3.465319e+07
7.959777e+00 3.108783e+07 3.429750e+07
8.015007e+00 3.078626e+07 3.394207e+07
8.070620e+00 3.049250e+07 3.359100e+07
8.126619e+00 3.020163e+07 3.324618e+07
8.183007e+00 2.991338e+07 3.290481e+07
8.239786e+00 2.962615e+07 3.256722e+07
8.296959e+00 2.934057e+07 3.222897e+07
8.354528e+00 2.905757e+07 3.189581e+07
8.412497e+00 2.877825e+07 3.156597e+07
8.470868e+00 2.850175e+07 3.124232e+07
8.529644e+00 2.822777e+07 3.091767e+07
8.588829e+00 2.795627e+07 3.059754e+07
8.648423e+00 2.768630e+07 3.028491e+07
8.708431e+00 2.741687e+07 2.996859e+07
8.768856e+00 2.714992e+07 2.966050e+07
8.829700e+00 2.688341e+07 2.935335e+07
8.890966e+00 2.661982e+07 2.904901e+07
8.952657e+00 2.636114e+07 2.874646e+07
9.014776e+00 2.610534e+07 2.844741e+07
9.077327e+00 2.585178e+07 2.815175e+07
9.140311e+00 2.559932e+07 2.785856e+07
9.203732e+00 2.534932e+07 2.756911e+07
9.267593e+00 2.510195e+07 2.727814e+07
9.331898e+00 2.485683e+07 2.699033e+07
9.396648e+00 2.461395e+07 2.670860e+07
9.461848e+00 2.437335e+07 2.642980e+07
9.527500e+00 2.413584e+07 2.615326e+07
9.593608e+00 2.390178e+07 2.588217e+07
9.660175e+00 2.366983e+07 2.561174e+07
9.727203e+00 2.344013e+07 2.534407e+07
9.794697e+00 2.321253e+07 2.507971e+07
9.862658e+00 2.298699e+07 2.481808e+07
9.931092e+00 2.276349e+07 2.455908e+07
1.000000e+01 2.254203e+07 2.430519e+07
1.006939e+01 2.232182e+07 2.404864e+07
1.013925e+01 2.210374e+07 2.379539e+07
1.020961e+01 2.188774e+07 2.354620e+07
1.028045e+01 2.167372e+07 2.329823e+07
1.035178e+01 2.146165e+07 2.305213e+07
1.042361e+01 2.125153e+07 2.280952e+07
1.049593e+01 2.104334e+07 2.257090e+07
1.056876e+01 2.083706e+07 2.233110e+07
1.064209e+01 2.063307e+07 2.209469e+07
1.071593e+01 2.043111e+07 2.186203e+07
1.079029e+01 2.022951e+07 2.163526e+07
1.086516e+01 2.002983e+07 2.140585e+07
1.094055e+01 1.983248e+07 2.117964e+07
1.101646e+01 1.963618e+07 2.095639e+07
1.109290e+01 1.943992e+07 2.073772e+07
1.116987e+01 1.924720e+07 2.052063e+07
1.124737e+01 1.905668e+07 2.030236e+07
1.132541e+01 1.886794e+07 2.008851e+07
1.140400e+01 1.868094e+07 1.987649e+07
1.148312e+01 1.849568e+07 1.966887e+07
1.156280e+01 1.831134e+07 1.946188e+07
1.164303e+01 1.812837e+07 1.925695e+07
1.172382e+01 1.794563e+07 1.905483e+07
1.180517e+01 1.776482e+07 1.885296e+07
1.188708e+01 1.758665e+07 1.865419e+07
1.196956e+01 1.741181e+07 1.845730e+07
1.205261e+01 1.723895e+07 1.826155e+07
1.213624e+01 1.706739e+07 1.806901e+07
1.222045e+01 1.689665e+07 1.787816e+07
1.230524e+01 1.672804e+07 1.768897e+07
1.239062e+01 1.656123e+07 1.750248e+07
1.247660e+01 1.639445e+07 1.731847e+07
1.256317e+01 1.623112e+07 1.713340e+07
1.265034e+01 1.606798e+07 1.695169e+07
1.273811e+01 1.590696e+07 1.677432e+07
1.282650e+01 1.574760e+07 1.659675e+07
1.291550e+01 1.558999e+07 1.641761e+07
1.300511e+01 1.543383e+07 1.624530e+07
1.309535e+01 1.527910e+07 1.607150e+07
1.318621e+01 1.512580e+07 1.589912e+07
1.327771e+01 1.497186e+07 1.572997e+07
1.336984e+01 1.481954e+07 1.556277e+07
1.346261e+01 1.467003e+07 1.539762e+07
1.355602e+01 1.452214e+07 1.523281e+07
1.365008e+01 1.437481e+07 1.506986e+07
1.374479e+01 1.422826e+07 1.490912e+07
1.384016e+01 1.408160e+07 1.474899e+07
