# Energy(MeV) Fluence_Sferica_Median(cm^-2*MeV^-1)
6.245845e+02 9.661225e+03
6.332908e+02 9.246350e+03
6.421186e+02 8.849293e+03
6.510694e+02 8.469288e+03
6.601449e+02 8.105603e+03
6.693470e+02 7.757538e+03
6.786773e+02 7.420839e+03
6.881377e+02 7.097417e+03
6.977300e+02 6.788091e+03
7.074559e+02 6.492246e+03
7.173175e+02 6.209296e+03
7.273165e+02 5.938677e+03
7.374549e+02 5.680233e+03
7.477346e+02 5.433343e+03
7.581576e+02 5.197184e+03
7.687260e+02 4.971978e+03
7.794416e+02 4.756682e+03
7.903066e+02 4.550710e+03
8.013230e+02 4.353656e+03
8.124930e+02 4.165135e+03
8.238187e+02 3.984777e+03
8.353023e+02 3.811388e+03
8.469460e+02 3.645039e+03
8.587519e+02 3.485951e+03
8.707225e+02 3.333806e+03
8.828599e+02 3.188302e+03
8.951665e+02 3.049808e+03
9.076446e+02 2.916718e+03
9.202967e+02 2.789437e+03
9.331251e+02 2.667710e+03
9.461324e+02 2.551295e+03
9.593209e+02 2.439960e+03
9.726934e+02 2.333622e+03
9.862522e+02 2.232562e+03
1.000000e+03 2.135878e+03
