# Energy(MeV) Phi16_Sferica Phi84_Sferica
2.044661e+01 2.256513e+08 2.381880e+08
2.073162e+01 2.202532e+08 2.325779e+08
2.102061e+01 2.149241e+08 2.269608e+08
2.131362e+01 2.097432e+08 2.215243e+08
2.161073e+01 2.046384e+08 2.161218e+08
2.191197e+01 1.996281e+08 2.108309e+08
2.221741e+01 1.946969e+08 2.056428e+08
2.252711e+01 1.898387e+08 2.006245e+08
2.284112e+01 1.850826e+08 1.956462e+08
2.315951e+01 1.803716e+08 1.907120e+08
2.348235e+01 1.758539e+08 1.858547e+08
2.380968e+01 1.714152e+08 1.811713e+08
2.414157e+01 1.669926e+08 1.765156e+08
2.447809e+01 1.625852e+08 1.719688e+08
2.481930e+01 1.583517e+08 1.675220e+08
2.516527e+01 1.541437e+08 1.631153e+08
2.551606e+01 1.500301e+08 1.588230e+08
2.587174e+01 1.460572e+08 1.545687e+08
2.623238e+01 1.420797e+08 1.504422e+08
2.659804e+01 1.381787e+08 1.464295e+08
2.696881e+01 1.344115e+08 1.424905e+08
2.734474e+01 1.307545e+08 1.386487e+08
2.772591e+01 1.271147e+08 1.348115e+08
2.811239e+01 1.234883e+08 1.311024e+08
2.850426e+01 1.199547e+08 1.274054e+08
2.890160e+01 1.164003e+08 1.238476e+08
2.930447e+01 1.130892e+08 1.203964e+08
2.971296e+01 1.098633e+08 1.169625e+08
3.012714e+01 1.066635e+08 1.135730e+08
3.054710e+01 1.034935e+08 1.102563e+08
3.097291e+01 1.003906e+08 1.070143e+08
3.140465e+01 9.739507e+07 1.038717e+08
3.184242e+01 9.449727e+07 1.008272e+08
3.228628e+01 9.168844e+07 9.777057e+07
3.273634e+01 8.887719e+07 9.480552e+07
3.319266e+01 8.608748e+07 9.191025e+07
3.365535e+01 8.340670e+07 8.910946e+07
3.412449e+01 8.077410e+07 8.635946e+07
3.460016e+01 7.820818e+07 8.369231e+07
3.508247e+01 7.566632e+07 8.108352e+07
3.557150e+01 7.323087e+07 7.855476e+07
3.606735e+01 7.088986e+07 7.607826e+07
3.657011e+01 6.856435e+07 7.366909e+07
3.707988e+01 6.628347e+07 7.131926e+07
3.759675e+01 6.407304e+07 6.901332e+07
3.812083e+01 6.192918e+07 6.677613e+07
3.865221e+01 5.987294e+07 6.459114e+07
3.919100e+01 5.784469e+07 6.245633e+07
3.973730e+01 5.581010e+07 6.036105e+07
4.029122e+01 5.383367e+07 5.833328e+07
4.085286e+01 5.200149e+07 5.635955e+07
4.142232e+01 5.017980e+07 5.444486e+07
4.199973e+01 4.833333e+07 5.257194e+07
4.258518e+01 4.658656e+07 5.071223e+07
4.317880e+01 4.484953e+07 4.895423e+07
4.378069e+01 4.318306e+07 4.723026e+07
4.439097e+01 4.156512e+07 4.554887e+07
4.500975e+01 4.002362e+07 4.394166e+07
4.563716e+01 3.851132e+07 4.234950e+07
4.627332e+01 3.710224e+07 4.080392e+07
4.691835e+01 3.566115e+07 3.931523e+07
4.757236e+01 3.427384e+07 3.786558e+07
4.823549e+01 3.293327e+07 3.644600e+07
4.890787e+01 3.168066e+07 3.510201e+07
4.958962e+01 3.047981e+07 3.376138e+07
5.028087e+01 2.924777e+07 3.247182e+07
5.098176e+01 2.808277e+07 3.120703e+07
5.169242e+01 2.698167e+07 2.999228e+07
5.241298e+01 2.591001e+07 2.882132e+07
5.314359e+01 2.489312e+07 2.768753e+07
5.388438e+01 2.387077e+07 2.657568e+07
5.463550e+01 2.288391e+07 2.552264e+07
5.539709e+01 2.192333e+07 2.449087e+07
5.616930e+01 2.102366e+07 2.349097e+07
5.695227e+01 2.017043e+07 2.252784e+07
5.774615e+01 1.932747e+07 2.162156e+07
5.855110e+01 1.850581e+07 2.073095e+07
5.936727e+01 1.773407e+07 1.989696e+07
6.019482e+01 1.700372e+07 1.906420e+07
6.103390e+01 1.628200e+07 1.824771e+07
6.188468e+01 1.560154e+07 1.746940e+07
6.274732e+01 1.493296e+07 1.674698e+07
6.362198e+01 1.429533e+07 1.604453e+07
6.450884e+01 1.368094e+07 1.535968e+07
6.540806e+01 1.308954e+07 1.470386e+07
6.631981e+01 1.251554e+07 1.408628e+07
6.724427e+01 1.195648e+07 1.349712e+07
6.818162e+01 1.142657e+07 1.290480e+07
6.913204e+01 1.090717e+07 1.239247e+07
7.009570e+01 1.042983e+07 1.186919e+07
7.107280e+01 9.960320e+06 1.135729e+07
7.206351e+01 9.530597e+06 1.088028e+07
7.306804e+01 9.105888e+06 1.041616e+07
7.408657e+01 8.704718e+06 9.971726e+06
7.511929e+01 8.301701e+06 9.536899e+06
7.616642e+01 7.918556e+06 9.139981e+06
7.722814e+01 7.566354e+06 8.758157e+06
7.830465e+01 7.226344e+06 8.388984e+06
7.939618e+01 6.904626e+06 8.050296e+06
8.050292e+01 6.596574e+06 7.731364e+06
8.162509e+01 6.297397e+06 7.423386e+06
8.276289e+01 6.010163e+06 7.131202e+06
8.391656e+01 5.732801e+06 6.848032e+06
8.508632e+01 5.477470e+06 6.576856e+06
8.627237e+01 5.222191e+06 6.316451e+06
8.747496e+01 4.970999e+06 6.067358e+06
8.869432e+01 4.740907e+06 5.834042e+06
8.993067e+01 4.513150e+06 5.607152e+06
9.118425e+01 4.301571e+06 5.388472e+06
9.245531e+01 4.100159e+06 5.182668e+06
9.374409e+01 3.901091e+06 4.979715e+06
9.505083e+01 3.719878e+06 4.783823e+06
9.637579e+01 3.544327e+06 4.590628e+06
9.771921e+01 3.377926e+06 4.404641e+06
9.908137e+01 3.213898e+06 4.229075e+06
1.004625e+02 3.062638e+06 4.063055e+06
1.018629e+02 2.919052e+06 3.902339e+06
1.032828e+02 2.779855e+06 3.747025e+06
1.047225e+02 2.649246e+06 3.597893e+06
1.061823e+02 2.521832e+06 3.458515e+06
1.076624e+02 2.402958e+06 3.325017e+06
1.091632e+02 2.290491e+06 3.196596e+06
1.106848e+02 2.179921e+06 3.072154e+06
1.122277e+02 2.073676e+06 2.949683e+06
1.137921e+02 1.972681e+06 2.834524e+06
1.153783e+02 1.877855e+06 2.722453e+06
1.169866e+02 1.788753e+06 2.614749e+06
1.186174e+02 1.703681e+06 2.511858e+06
1.202708e+02 1.622582e+06 2.412347e+06
1.219473e+02 1.544338e+06 2.317250e+06
1.236472e+02 1.469443e+06 2.228183e+06
1.253708e+02 1.399018e+06 2.144538e+06
1.271184e+02 1.332577e+06 2.062157e+06
1.288904e+02 1.269028e+06 1.981125e+06
1.306870e+02 1.208509e+06 1.903577e+06
1.325087e+02 1.150239e+06 1.829064e+06
1.343558e+02 1.094830e+06 1.757647e+06
1.362287e+02 1.042890e+06 1.689652e+06
1.381276e+02 9.938853e+05 1.624029e+06
1.400531e+02 9.470300e+05 1.560174e+06
1.420053e+02 9.015264e+05 1.498567e+06
1.439848e+02 8.581014e+05 1.439520e+06
1.459919e+02 8.157096e+05 1.383053e+06
1.480269e+02 7.757570e+05 1.328916e+06
1.500903e+02 7.385930e+05 1.276898e+06
1.521825e+02 7.026736e+05 1.226915e+06
1.543038e+02 6.682619e+05 1.178964e+06
1.564548e+02 6.357481e+05 1.132744e+06
1.586357e+02 6.055723e+05 1.088404e+06
1.608469e+02 5.765757e+05 1.046349e+06
1.630891e+02 5.489334e+05 1.005927e+06
1.653624e+02 5.226326e+05 9.665127e+05
1.676675e+02 4.976789e+05 9.286428e+05
1.700047e+02 4.736634e+05 8.922567e+05
1.723745e+02 4.508897e+05 8.572964e+05
1.747773e+02 4.294310e+05 8.243646e+05
1.772136e+02 4.092964e+05 7.933472e+05
1.796838e+02 3.901738e+05 7.634970e+05
1.821885e+02 3.712947e+05 7.343756e+05
1.847281e+02 3.538206e+05 7.061344e+05
1.873032e+02 3.370742e+05 6.788609e+05
1.899141e+02 3.208698e+05 6.529535e+05
1.925614e+02 3.054345e+05 6.280207e+05
1.952456e+02 2.906878e+05 6.035758e+05
1.979672e+02 2.767030e+05 5.799021e+05
2.007267e+02 2.634946e+05 5.575042e+05
2.035248e+02 2.506605e+05 5.359714e+05
2.063618e+02 2.387869e+05 5.152535e+05
2.092383e+02 2.275070e+05 4.952719e+05
2.121550e+02 2.169335e+05 4.760481e+05
2.151123e+02 2.065655e+05 4.574498e+05
2.181109e+02 1.965995e+05 4.392728e+05
2.211512e+02 1.870786e+05 4.219079e+05
2.242340e+02 1.779056e+05 4.053218e+05
2.273597e+02 1.691801e+05 3.893878e+05
2.305289e+02 1.610149e+05 3.740801e+05
2.337424e+02 1.533207e+05 3.593743e+05
2.370006e+02 1.459942e+05 3.452466e+05
2.403043e+02 1.390178e+05 3.316743e+05
2.436540e+02 1.323748e+05 3.187319e+05
2.470504e+02 1.260492e+05 3.064114e+05
2.504942e+02 1.200351e+05 2.945672e+05
2.539859e+02 1.143144e+05 2.831809e+05
2.575263e+02 1.088663e+05 2.722346e+05
2.611161e+02 1.036778e+05 2.617115e+05
2.647559e+02 9.873665e+04 2.515952e+05
2.684465e+02 9.403097e+04 2.418699e+05
2.721885e+02 8.954238e+04 2.325082e+05
2.759826e+02 8.526442e+04 2.235027e+05
2.798297e+02 8.121179e+04 2.148460e+05
2.837304e+02 7.738933e+04 2.065246e+05
2.876854e+02 7.374680e+04 1.985256e+05
2.916956e+02 7.022801e+04 1.908364e+05
2.957617e+02 6.686852e+04 1.834449e+05
2.998844e+02 6.366974e+04 1.763398e+05
3.040646e+02 6.062398e+04 1.694692e+05
3.083031e+02 5.768897e+04 1.629437e+05
3.126007e+02 5.490737e+04 1.566694e+05
3.169582e+02 5.226745e+04 1.506321e+05
3.213764e+02 4.973792e+04 1.448170e+05
3.258562e+02 4.733689e+04 1.392265e+05
3.303985e+02 4.505923e+04 1.338518e+05
3.350041e+02 4.289117e+04 1.286845e+05
3.396739e+02 4.083351e+04 1.237168e+05
3.444087e+02 3.889643e+04 1.189408e+05
3.492096e+02 3.702068e+04 1.143389e+05
3.540774e+02 3.523298e+04 1.098961e+05
3.590130e+02 3.353161e+04 1.055873e+05
3.640175e+02 3.191239e+04 1.014474e+05
3.690917e+02 3.037137e+04 9.746978e+04
3.742366e+02 2.890476e+04 9.364816e+04
3.794533e+02 2.750897e+04 8.997639e+04
3.847427e+02 2.618059e+04 8.644859e+04
3.901058e+02 2.492098e+04 8.305911e+04
3.955436e+02 2.374816e+04 7.980254e+04
4.010573e+02 2.262995e+04 7.667365e+04
4.066478e+02 2.153716e+04 7.366745e+04
4.123163e+02 2.049714e+04 7.077730e+04
4.180637e+02 1.950735e+04 6.800036e+04
4.238913e+02 1.856535e+04 6.533238e+04
4.298001e+02 1.766884e+04 6.276908e+04
4.357913e+02 1.681562e+04 6.030635e+04
4.418660e+02 1.600360e+04 5.794024e+04
4.480254e+02 1.523080e+04 5.566697e+04
4.542706e+02 1.449531e+04 5.348290e+04
4.606029e+02 1.379534e+04 5.138452e+04
4.670234e+02 1.312917e+04 4.936611e+04
4.735335e+02 1.249938e+04 4.742430e+04
4.801343e+02 1.191070e+04 4.555887e+04
