# Energy(MeV) Fluence_Planare_Median
6.086943e+01 6.826680e+04
6.164526e+01 6.594237e+04
6.243098e+01 6.369708e+04
6.322671e+01 6.154297e+04
6.403259e+01 5.948805e+04
6.484874e+01 5.749402e+04
6.567529e+01 5.553123e+04
6.651237e+01 5.361267e+04
6.736013e+01 5.177064e+04
6.821869e+01 4.999356e+04
6.908819e+01 4.831207e+04
6.996877e+01 4.666545e+04
7.086058e+01 4.505986e+04
7.176376e+01 4.351356e+04
7.267845e+01 4.203195e+04
7.360479e+01 4.060471e+04
7.454294e+01 3.923057e+04
7.549305e+01 3.789917e+04
7.645527e+01 3.659869e+04
7.742976e+01 3.535590e+04
7.841666e+01 3.415741e+04
7.941615e+01 3.299142e+04
8.042837e+01 3.185878e+04
8.145350e+01 3.077404e+04
8.249169e+01 2.973827e+04
8.354311e+01 2.872800e+04
8.460794e+01 2.775206e+04
8.568633e+01 2.680612e+04
8.677847e+01 2.589571e+04
8.788454e+01 2.500105e+04
8.900470e+01 2.414358e+04
9.013913e+01 2.331015e+04
9.128803e+01 2.250869e+04
9.245157e+01 2.173183e+04
9.362994e+01 2.097068e+04
9.482333e+01 2.024305e+04
9.603193e+01 1.955236e+04
9.725594e+01 1.889156e+04
9.849554e+01 1.825211e+04
9.975095e+01 1.762085e+04
1.010224e+02 1.701056e+04
1.023100e+02 1.643042e+04
1.036140e+02 1.587347e+04
1.049346e+02 1.532803e+04
1.062721e+02 1.480014e+04
1.076266e+02 1.429284e+04
1.089984e+02 1.380880e+04
1.103877e+02 1.333452e+04
1.117947e+02 1.287912e+04
1.132196e+02 1.244266e+04
1.146627e+02 1.202027e+04
1.161241e+02 1.161036e+04
1.176042e+02 1.121146e+04
1.191032e+02 1.083079e+04
1.206213e+02 1.046191e+04
1.221587e+02 1.010558e+04
1.237157e+02 9.763341e+03
1.252925e+02 9.431566e+03
1.268895e+02 9.110697e+03
1.285068e+02 8.800745e+03
1.301447e+02 8.502579e+03
1.318035e+02 8.212788e+03
1.334835e+02 7.932109e+03
1.351848e+02 7.661298e+03
1.369079e+02 7.397914e+03
1.386529e+02 7.144489e+03
1.404201e+02 6.900465e+03
