Energy(MeV) Phi_16 Phi_84
9.428983e+00 3.243997e+08 4.347209e+08
9.617986e+00 3.146281e+08 4.213194e+08
9.810778e+00 3.051528e+08 4.083140e+08
1.000743e+01 2.958078e+08 3.957381e+08
1.020803e+01 2.865718e+08 3.830909e+08
1.041265e+01 2.780046e+08 3.709102e+08
1.062137e+01 2.691238e+08 3.589889e+08
1.083428e+01 2.606178e+08 3.475230e+08
1.105145e+01 2.523597e+08 3.366411e+08
1.127297e+01 2.437437e+08 3.256039e+08
1.149894e+01 2.355134e+08 3.150072e+08
1.172944e+01 2.278112e+08 3.042468e+08
1.196455e+01 2.206216e+08 2.940878e+08
1.220438e+01 2.133178e+08 2.841524e+08
1.244902e+01 2.057906e+08 2.744677e+08
1.269856e+01 1.988383e+08 2.649671e+08
1.295310e+01 1.919547e+08 2.560390e+08
1.321274e+01 1.847507e+08 2.474190e+08
1.347759e+01 1.785740e+08 2.389942e+08
1.374775e+01 1.724438e+08 2.309639e+08
1.402332e+01 1.663667e+08 2.227515e+08
1.430442e+01 1.605812e+08 2.150974e+08
1.459115e+01 1.549075e+08 2.074993e+08
1.488362e+01 1.493550e+08 1.999373e+08
1.518197e+01 1.440916e+08 1.926038e+08
1.548629e+01 1.390000e+08 1.856046e+08
1.579671e+01 1.339728e+08 1.784862e+08
1.611335e+01 1.290641e+08 1.717066e+08
1.643634e+01 1.242731e+08 1.652567e+08
1.676581e+01 1.195785e+08 1.589949e+08
1.710188e+01 1.149960e+08 1.529262e+08
1.744468e+01 1.103616e+08 1.468803e+08
1.779436e+01 1.060433e+08 1.411590e+08
1.815105e+01 1.018397e+08 1.353733e+08
1.851488e+01 9.782118e+07 1.300087e+08
1.888601e+01 9.408913e+07 1.247326e+08
1.926458e+01 9.011091e+07 1.197431e+08
1.965074e+01 8.621785e+07 1.149063e+08
2.004464e+01 8.268530e+07 1.102077e+08
2.044643e+01 7.908708e+07 1.056144e+08
2.085628e+01 7.571834e+07 1.012087e+08
2.127434e+01 7.256813e+07 9.697332e+07
2.170078e+01 6.948007e+07 9.297445e+07
2.213577e+01 6.653876e+07 8.897765e+07
2.257948e+01 6.363685e+07 8.510069e+07
2.303209e+01 6.089108e+07 8.147616e+07
2.349376e+01 5.793454e+07 7.790902e+07
2.396469e+01 5.550776e+07 7.444141e+07
2.444506e+01 5.296450e+07 7.101620e+07
2.493506e+01 5.047720e+07 6.787824e+07
2.543488e+01 4.807122e+07 6.471856e+07
2.594472e+01 4.573423e+07 6.176314e+07
2.646478e+01 4.357109e+07 5.885755e+07
2.699527e+01 4.145855e+07 5.606952e+07
2.753639e+01 3.949435e+07 5.340457e+07
2.808835e+01 3.745514e+07 5.087262e+07
2.865138e+01 3.559601e+07 4.841529e+07
2.922570e+01 3.380624e+07 4.610302e+07
2.981152e+01 3.193092e+07 4.377222e+07
3.040909e+01 3.034619e+07 4.157832e+07
3.101864e+01 2.868503e+07 3.949800e+07
3.164041e+01 2.718046e+07 3.746536e+07
3.227464e+01 2.577237e+07 3.549294e+07
3.292158e+01 2.435419e+07 3.359272e+07
3.358149e+01 2.302424e+07 3.175572e+07
3.425463e+01 2.172446e+07 3.005502e+07
3.494126e+01 2.052171e+07 2.844242e+07
3.564165e+01 1.932950e+07 2.692963e+07
3.635609e+01 1.819000e+07 2.543826e+07
3.708484e+01 1.706757e+07 2.401976e+07
3.782820e+01 1.599203e+07 2.270936e+07
3.858647e+01 1.506586e+07 2.143470e+07
3.935993e+01 1.415485e+07 2.022819e+07
4.014890e+01 1.323157e+07 1.902254e+07
4.095368e+01 1.240781e+07 1.791827e+07
4.177459e+01 1.161130e+07 1.692392e+07
4.261196e+01 1.088676e+07 1.593675e+07
4.346611e+01 1.017807e+07 1.498301e+07
4.433739e+01 9.502573e+06 1.407957e+07
4.522613e+01 8.867002e+06 1.322182e+07
4.613268e+01 8.326951e+06 1.241810e+07
4.705741e+01 7.775379e+06 1.165564e+07
4.800067e+01 7.238213e+06 1.097392e+07
4.896284e+01 6.751152e+06 1.027290e+07
4.994430e+01 6.302732e+06 9.614720e+06
5.094543e+01 5.860023e+06 9.021308e+06
5.196662e+01 5.457407e+06 8.439881e+06
5.300829e+01 5.115363e+06 7.899542e+06
5.407084e+01 4.754215e+06 7.412032e+06
5.515468e+01 4.453005e+06 6.926107e+06
5.626026e+01 4.155519e+06 6.464429e+06
5.738799e+01 3.859808e+06 6.041384e+06
5.853833e+01 3.589736e+06 5.661221e+06
5.971172e+01 3.336280e+06 5.295095e+06
6.090864e+01 3.093969e+06 4.922030e+06
6.212955e+01 2.865470e+06 4.582415e+06
6.337493e+01 2.657040e+06 4.274186e+06
6.464528e+01 2.464424e+06 3.982019e+06
6.594109e+01 2.288839e+06 3.709181e+06
6.726287e+01 2.114738e+06 3.441507e+06
6.861115e+01 1.964524e+06 3.201327e+06
6.998645e+01 1.822155e+06 2.988024e+06
7.138933e+01 1.684935e+06 2.785542e+06
7.282032e+01 1.566393e+06 2.602876e+06
7.428000e+01 1.446444e+06 2.429370e+06
7.576894e+01 1.338195e+06 2.264913e+06
7.728772e+01 1.239484e+06 2.124327e+06
7.883694e+01 1.147832e+06 1.975867e+06
8.041722e+01 1.057149e+06 1.836562e+06
8.202918e+01 9.743621e+05 1.709779e+06
8.367345e+01 9.048141e+05 1.597350e+06
8.535068e+01 8.342240e+05 1.488290e+06
8.706153e+01 7.702079e+05 1.391529e+06
8.880667e+01 7.099527e+05 1.304024e+06
9.058679e+01 6.541760e+05 1.220150e+06
9.240260e+01 6.041791e+05 1.141421e+06
9.425480e+01 5.540840e+05 1.066181e+06
9.614413e+01 5.127004e+05 1.001281e+06
9.807133e+01 4.736287e+05 9.370611e+05
1.000372e+02 4.364036e+05 8.776370e+05
1.020424e+02 4.027298e+05 8.191186e+05
1.040878e+02 3.725147e+05 7.698898e+05
1.061743e+02 3.441493e+05 7.234761e+05
1.083025e+02 3.173178e+05 6.789786e+05
1.104734e+02 2.932271e+05 6.379997e+05
1.126879e+02 2.700020e+05 5.954500e+05
1.149467e+02 2.481373e+05 5.586009e+05
1.172508e+02 2.295322e+05 5.242734e+05
1.196011e+02 2.111781e+05 4.916644e+05
1.219985e+02 1.946559e+05 4.607852e+05
1.244439e+02 1.793259e+05 4.332921e+05
1.269384e+02 1.652252e+05 4.073466e+05
1.294828e+02 1.519051e+05 3.804781e+05
1.320783e+02 1.399080e+05 3.561334e+05
1.347258e+02 1.287895e+05 3.332753e+05
1.374264e+02 1.185362e+05 3.119403e+05
1.401811e+02 1.096322e+05 2.926538e+05
1.429910e+02 1.014567e+05 2.745039e+05
1.458573e+02 9.327701e+04 2.574681e+05
1.487810e+02 8.544634e+04 2.413010e+05
1.517633e+02 7.921089e+04 2.256021e+05
1.548053e+02 7.342030e+04 2.113382e+05
1.579084e+02 6.739073e+04 1.983732e+05
1.610737e+02 6.207488e+04 1.861423e+05
1.643024e+02 5.727729e+04 1.741725e+05
1.675958e+02 5.260371e+04 1.633719e+05
1.709552e+02 4.854896e+04 1.539057e+05
1.743820e+02 4.476984e+04 1.445038e+05
1.778775e+02 4.142067e+04 1.355745e+05
1.814430e+02 3.821908e+04 1.271114e+05
1.850801e+02 3.518061e+04 1.192047e+05
1.887900e+02 3.233849e+04 1.117222e+05
1.925743e+02 2.974535e+04 1.048180e+05
1.964344e+02 2.743927e+04 9.846900e+04
2.003719e+02 2.536017e+04 9.251531e+04
2.043883e+02 2.329215e+04 8.697153e+04
2.084853e+02 2.135893e+04 8.173800e+04
2.126644e+02 1.969783e+04 7.672815e+04
2.169272e+02 1.811454e+04 7.205492e+04
2.212755e+02 1.670153e+04 6.761130e+04
2.257109e+02 1.539010e+04 6.332955e+04
2.302353e+02 1.404082e+04 5.930007e+04
2.348503e+02 1.296605e+04 5.585242e+04
2.395579e+02 1.198134e+04 5.242770e+04
2.443598e+02 1.107804e+04 4.918788e+04
2.492580e+02 1.019959e+04 4.614834e+04
2.542544e+02 9.336130e+03 4.329670e+04
2.593509e+02 8.561612e+03 4.060815e+04
2.645495e+02 7.854864e+03 3.807920e+04
2.698524e+02 7.200950e+03 3.573091e+04
2.752616e+02 6.613032e+03 3.355880e+04
2.807792e+02 6.108191e+03 3.149740e+04
2.864074e+02 5.629407e+03 2.955179e+04
2.921484e+02 5.173120e+03 2.770347e+04
2.980045e+02 4.748643e+03 2.596514e+04
3.039780e+02 4.367851e+03 2.433594e+04
3.100712e+02 4.009565e+03 2.283379e+04
3.162865e+02 3.680662e+03 2.144069e+04
3.226265e+02 3.386405e+03 2.013263e+04
3.290935e+02 3.123307e+03 1.891643e+04
3.356901e+02 2.876081e+03 1.776295e+04
3.424190e+02 2.652358e+03 1.666569e+04
3.492828e+02 2.442367e+03 1.564033e+04
3.562841e+02 2.254879e+03 1.467809e+04
3.634258e+02 2.079686e+03 1.377509e+04
3.707107e+02 1.918854e+03 1.292767e+04
3.781415e+02 1.763718e+03 1.214585e+04
3.857213e+02 1.620458e+03 1.140722e+04
3.934531e+02 1.485704e+03 1.069696e+04
4.013398e+02 1.364816e+03 1.002993e+04
4.093847e+02 1.259382e+03 9.411669e+03
4.175907e+02 1.162927e+03 8.831098e+03
4.259613e+02 1.071495e+03 8.286019e+03
4.344997e+02 9.849030e+02 7.776942e+03
4.432092e+02 9.053076e+02 7.295067e+03
4.520933e+02 8.321433e+02 6.841853e+03
4.611555e+02 7.648906e+02 6.437169e+03
4.703993e+02 7.041523e+02 6.047403e+03
4.798284e+02 6.486434e+02 5.676926e+03
4.894465e+02 5.959811e+02 5.329166e+03
4.992574e+02 5.487678e+02 4.996819e+03
5.092650e+02 5.055611e+02 4.685160e+03
5.194732e+02 4.637521e+02 4.407194e+03
5.298860e+02 4.275555e+02 4.144266e+03
5.405075e+02 3.946400e+02 3.892283e+03
5.513420e+02 3.640114e+02 3.654465e+03
5.623936e+02 3.347409e+02 3.431192e+03
5.736667e+02 3.078421e+02 3.221572e+03
5.851658e+02 2.832481e+02 3.025401e+03
5.968954e+02 2.606793e+02 2.844548e+03
6.088601e+02 2.389471e+02 2.677427e+03
6.210647e+02 2.197032e+02 2.514962e+03
6.335139e+02 2.019572e+02 2.360964e+03
6.462126e+02 1.858369e+02 2.216399e+03
6.591659e+02 1.708496e+02 2.080576e+03
6.723788e+02 1.569705e+02 1.952549e+03
6.858566e+02 1.448040e+02 1.833199e+03
6.996046e+02 1.335799e+02 1.721562e+03
7.136281e+02 1.230860e+02 1.616731e+03
7.279327e+02 1.130652e+02 1.518590e+03
7.425240e+02 1.037067e+02 1.427911e+03
7.574079e+02 9.509085e+01 1.342655e+03
7.725901e+02 8.753447e+01 1.264872e+03
7.880766e+02 8.058034e+01 1.196648e+03
8.038735e+02 7.418070e+01 1.123863e+03
8.199871e+02 6.829609e+01 1.055512e+03
8.364237e+02 6.290919e+01 9.913246e+02
8.531897e+02 5.788917e+01 9.310465e+02
8.702918e+02 5.329590e+01 8.744395e+02
8.877368e+02 4.899290e+01 8.218267e+02
9.055314e+02 4.509449e+01 7.726814e+02
9.236827e+02 4.143111e+01 7.266864e+02
9.421978e+02 3.806512e+01 6.832439e+02
9.610841e+02 3.497359e+01 6.424038e+02
9.803490e+02 3.213317e+01 6.036934e+02
1.000000e+03 2.947810e+01 5.669118e+02
