Energy(MeV) Phi_16 Phi_84
5.096436e+00 3.151986e+09 4.190455e+09
5.198594e+00 3.071994e+09 4.083685e+09
5.302799e+00 2.990972e+09 3.981945e+09
5.409093e+00 2.911417e+09 3.874845e+09
5.517518e+00 2.833264e+09 3.772647e+09
5.628116e+00 2.755993e+09 3.673351e+09
5.740932e+00 2.682093e+09 3.579719e+09
5.856008e+00 2.609507e+09 3.487982e+09
5.973391e+00 2.537324e+09 3.393984e+09
6.093127e+00 2.467725e+09 3.301871e+09
6.215264e+00 2.399349e+09 3.215007e+09
6.339848e+00 2.332586e+09 3.127890e+09
6.466930e+00 2.267441e+09 3.041054e+09
6.596559e+00 2.203862e+09 2.957003e+09
6.728787e+00 2.143142e+09 2.875757e+09
6.863665e+00 2.081865e+09 2.797104e+09
7.001246e+00 2.022272e+09 2.720527e+09
7.141586e+00 1.964462e+09 2.645163e+09
7.284738e+00 1.907492e+09 2.566325e+09
7.430760e+00 1.852767e+09 2.490725e+09
7.579709e+00 1.800114e+09 2.421771e+09
7.731644e+00 1.748666e+09 2.352085e+09
7.886624e+00 1.698901e+09 2.283374e+09
8.044711e+00 1.649181e+09 2.217897e+09
8.205967e+00 1.601392e+09 2.155426e+09
8.370455e+00 1.554651e+09 2.092579e+09
8.538240e+00 1.509444e+09 2.030033e+09
8.709388e+00 1.465515e+09 1.968612e+09
8.883967e+00 1.422627e+09 1.909016e+09
9.062045e+00 1.379353e+09 1.850665e+09
9.243693e+00 1.337795e+09 1.794026e+09
9.428983e+00 1.297599e+09 1.738884e+09
9.617986e+00 1.258512e+09 1.685278e+09
9.810778e+00 1.220611e+09 1.633256e+09
1.000743e+01 1.183231e+09 1.582952e+09
1.020803e+01 1.146287e+09 1.532363e+09
1.041265e+01 1.112018e+09 1.483641e+09
1.062137e+01 1.076495e+09 1.435956e+09
1.083428e+01 1.042471e+09 1.390092e+09
1.105145e+01 1.009439e+09 1.346564e+09
1.127297e+01 9.749748e+08 1.302415e+09
1.149894e+01 9.420535e+08 1.260029e+09
1.172944e+01 9.112447e+08 1.216987e+09
1.196455e+01 8.824862e+08 1.176351e+09
1.220438e+01 8.532713e+08 1.136610e+09
1.244902e+01 8.231622e+08 1.097871e+09
1.269856e+01 7.953533e+08 1.059869e+09
1.295310e+01 7.678187e+08 1.024156e+09
1.321274e+01 7.390029e+08 9.896761e+08
1.347759e+01 7.142959e+08 9.559768e+08
1.374775e+01 6.897753e+08 9.238556e+08
1.402332e+01 6.654666e+08 8.910058e+08
1.430442e+01 6.423249e+08 8.603897e+08
1.459115e+01 6.196300e+08 8.299972e+08
1.488362e+01 5.974198e+08 7.997492e+08
1.518197e+01 5.763663e+08 7.704151e+08
1.548629e+01 5.560002e+08 7.424184e+08
1.579671e+01 5.358913e+08 7.139447e+08
1.611335e+01 5.162563e+08 6.868266e+08
1.643634e+01 4.970923e+08 6.610269e+08
1.676581e+01 4.783139e+08 6.359795e+08
1.710188e+01 4.599838e+08 6.117047e+08
1.744468e+01 4.414463e+08 5.875211e+08
1.779436e+01 4.241731e+08 5.646360e+08
1.815105e+01 4.073587e+08 5.414933e+08
1.851488e+01 3.912847e+08 5.200350e+08
1.888601e+01 3.763565e+08 4.989304e+08
1.926458e+01 3.604436e+08 4.789724e+08
1.965074e+01 3.448714e+08 4.596253e+08
2.004464e+01 3.307412e+08 4.408310e+08
